metric,temporal_holdout,random_test,abs_delta,rel_delta,note,temporal_ci_low,temporal_ci_high,test_ci_low,test_ci_high,cis_overlap
pr_auc,0.7669419300451655,0.8834094837761949,-0.11646755373102935,-0.13183869527094133,,0.6586697966632247,0.8722956580473042,0.7976122479959347,0.9546500103160369,True
roc_auc,0.9504195491633445,0.9778761489827064,-0.027456599819361882,-0.02807778863195021,,,,,,
precision,0.9512195121951219,0.9811320754716981,-0.02991256327657621,-0.03048780487804883,,0.875,1.0,0.9354663394109397,1.0,True
recall,0.75,0.8253968253968254,-0.07539682539682535,-0.0913461538461538,,0.6307608695652174,0.8604651162790697,0.7272360703812317,0.9152542372881356,True
f1,0.8387096774193549,0.896551724137931,-0.05784204671857618,-0.06451612903225805,,,,,,
f2,0.7831325301204819,0.8524590163934426,-0.06932648627296067,-0.08132530120481926,,,,,,
tp,39.0,52.0,,,sizes differ: counts reported side by side,,,,,
fp,2.0,1.0,,,sizes differ: counts reported side by side,,,,,
tn,42507.0,36111.0,,,sizes differ: counts reported side by side,,,,,
fn,13.0,11.0,,,sizes differ: counts reported side by side,,,,,
fp_rate,4.7048860241360656e-05,2.769162605228179e-05,1.9357234189078867e-05,,,,,,,
fn_rate,0.25,0.1746031746031746,0.0753968253968254,,,,,,,
prevalence,0.0012217758041399402,0.001741534208707671,,,context: read PR-AUC against each set's prevalence,,,,,
pr_auc_lift,627.7272208586979,507.25933453339445,120.46788632530348,,PR-AUC / prevalence (lift over no-skill),,,,,
